nums,chans,neuts,suss,thOKs,thneus,thnos,numlegends,m_nums,m_chans,m_neuts,m_suss,m_thOKs,m_thneus,m_thnos,m_numlegends,m_toslegends,indegrees,c_ages,c_males,c_years,c_debts,c_s0s,c_s1s,c_s2s,c_s3s,c_s4s,c_s5s,c_s6s,c_s7s,c_s8s,c_s9s,c_s10s,c_snums
6,1,3,0,0,2,0,0,2,0.333333333333333,1,0,0,0.666666666666667,0,0,0,3,,,,,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,,,,5,0,0,0,1,0,0,0,0,0,0,0,1
15,1,1,0,0,13,0,15,15,1,1,0,0,13,0,15,0,1,,,,,0,0,0,1,0,0,0,0,0,0,0,1
1855,28,705,8,345,713,56,12,57.96875,0.875,22.03125,0.25,10.78125,22.28125,1.75,0.375,0,32,,,,,0,1,0,1,1,0,1,0,0,0,0,4
70,6,8,1,16,37,2,17,2.05882352941176,0.176470588235294,0.235294117647059,0.0294117647058823,0.470588235294118,1.08823529411765,0.0588235294117647,0.5,1,34,,1,,3,0,1,0,1,0,0,0,0,0,0,0,2
77,18,13,1,13,25,7,0,7,1.63636363636364,1.18181818181818,0.0909090909090909,1.18181818181818,2.27272727272727,0.636363636363636,0,0,11,,,,20,0,1,0,1,1,0,0,1,0,0,0,4
124,32,8,1,35,48,0,18,2.63829787234043,0.680851063829787,0.170212765957447,0.0212765957446808,0.74468085106383,1.02127659574468,0,0.382978723404255,0,47,,,,16,0,0,0,0,1,0,1,0,0,0,0,2
40,2,8,0,8,19,3,0,3.07692307692308,0.153846153846154,0.615384615384615,0,0.615384615384615,1.46153846153846,0.230769230769231,0,1,13,,,,,0,1,0,1,1,0,0,0,0,0,0,3
27,0,10,1,3,11,2,6,2.07692307692308,0,0.769230769230769,0.0769230769230769,0.230769230769231,0.846153846153846,0.153846153846154,0.461538461538462,0,13,,,,,0,0,0,1,0,1,0,0,0,0,0,2
336,8,78,7,53,154,36,7,3.7752808988764,0.0898876404494382,0.876404494382022,0.0786516853932584,0.595505617977528,1.73033707865169,0.404494382022472,0.0786516853932584,0,89,25,1,,,0,0,0,1,0,0,0,0,0,0,0,1
131,13,40,0,26,44,8,0,21.8333333333333,2.16666666666667,6.66666666666667,0,4.33333333333333,7.33333333333333,1.33333333333333,0,0,6,,,,,0,0,1,0,0,0,0,0,0,0,0,1
2,0,0,0,0,1,1,0,1,0,0,0,0,0.5,0.5,0,0,2,,,,1,0,0,0,1,1,1,1,1,1,0,0,6
430,13,198,0,48,155,16,0,43,1.3,19.8,0,4.8,15.5,1.6,0,1,10,,,,,0,1,0,1,0,1,0,0,0,0,0,3
4031,82,1633,17,587,1626,86,17,28.7928571428571,0.585714285714286,11.6642857142857,0.121428571428571,4.19285714285714,11.6142857142857,0.614285714285714,0.121428571428571,1,140,,,,,0,1,0,1,1,0,0,0,0,0,0,3
378,12,179,10,54,117,6,2,6.63157894736842,0.210526315789474,3.14035087719298,0.175438596491228,0.947368421052632,2.05263157894737,0.105263157894737,0.0350877192982456,0,57,,,,,0,0,1,0,1,1,0,0,0,0,0,3
5207,331,1999,5,802,2006,64,36,29.252808988764,1.85955056179775,11.2303370786517,0.0280898876404494,4.50561797752809,11.2696629213483,0.359550561797753,0.202247191011236,1,178,25,,,,0,0,0,1,1,1,0,1,1,1,0,6
495,57,130,0,96,185,27,6,11.5116279069767,1.32558139534884,3.02325581395349,0,2.23255813953488,4.30232558139535,0.627906976744186,0.13953488372093,1,43,,,,,0,0,0,1,1,0,0,0,0,0,0,2
48,5,15,0,9,15,4,0,3.2,0.333333333333333,1,0,0.6,1,0.266666666666667,0,0,15,,,,,0,0,0,1,1,1,0,0,0,0,0,3
50,6,19,0,9,15,1,3,2.08333333333333,0.25,0.791666666666667,0,0.375,0.625,0.0416666666666666,0.125,0,24,,,,,0,0,0,1,1,0,0,0,0,0,0,2
874,9,400,5,159,254,47,14,14.0967741935484,0.145161290322581,6.45161290322581,0.0806451612903225,2.56451612903226,4.09677419354839,0.758064516129032,0.225806451612903,0,62,,,,,0,1,0,1,1,1,0,1,0,0,0,5
9,0,0,0,0,9,0,0,4.5,0,0,0,0,4.5,0,0,0,2,45,,,,0,0,0,1,0,0,0,0,0,0,0,1
5397,129,2347,22,811,1821,267,45,101.830188679245,2.43396226415094,44.2830188679245,0.415094339622641,15.3018867924528,34.3584905660377,5.0377358490566,0.849056603773585,0,53,,,,,0,1,1,0,0,1,0,0,0,0,0,3
79,5,30,0,16,25,3,0,2.32352941176471,0.147058823529412,0.882352941176471,0,0.470588235294118,0.735294117647059,0.088235294117647,0,0,34,,,,,0,1,0,1,1,0,0,1,0,0,0,4
2,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,,,,,0,0,0,0,1,0,0,0,0,0,0,1
24,0,3,0,0,20,1,20,12,0,1.5,0,0,10,0.5,10,0,2,,,,,0,1,0,1,1,0,0,0,1,1,1,6
1658,132,492,16,296,635,87,11,13.0551181102362,1.03937007874016,3.8740157480315,0.125984251968504,2.33070866141732,5,0.68503937007874,0.0866141732283464,0,127,,,,,0,0,1,1,1,0,0,0,0,0,0,3
527,34,156,4,83,213,37,63,12.2558139534884,0.790697674418605,3.62790697674419,0.0930232558139534,1.93023255813954,4.95348837209302,0.86046511627907,1.46511627906977,1,43,,,,,0,0,0,1,1,0,0,1,0,0,0,3
143,9,39,3,33,43,16,0,8.9375,0.5625,2.4375,0.1875,2.0625,2.6875,1,0,0,16,,,,,0,0,0,1,1,0,1,0,0,0,0,3
48,1,13,1,2,31,0,13,8,0.166666666666667,2.16666666666667,0.166666666666667,0.333333333333333,5.16666666666667,0,2.16666666666667,0,6,,,,2.5,0,0,0,0,1,0,0,0,0,0,0,1
56,6,15,1,6,25,3,0,2.15384615384615,0.230769230769231,0.576923076923077,0.0384615384615384,0.230769230769231,0.961538461538462,0.115384615384615,0,1,26,,0,,9,0,0,0,0,1,0,0,0,1,0,0,2
38,0,7,0,8,21,2,0,4.22222222222222,0,0.777777777777778,0,0.888888888888889,2.33333333333333,0.222222222222222,0,0,9,,,,12,0,0,0,1,0,0,0,0,1,0,0,2
11,0,1,0,1,9,0,11,11,0,1,0,1,9,0,11,0,1,,,,,0,0,0,0,0,0,0,0,0,1,0,1
12,1,4,0,0,5,2,0,3,0.25,1,0,0,1.25,0.5,0,0,4,,,,,0,1,1,1,0,0,1,0,0,0,0,4
85,5,17,0,29,34,0,12,12.1428571428571,0.714285714285714,2.42857142857143,0,4.14285714285714,4.85714285714286,0,1.71428571428571,0,7,,,,,0,0,1,1,1,0,0,0,0,0,0,3
36,2,7,0,11,14,2,2,3.6,0.2,0.7,0,1.1,1.4,0.2,0.2,0,10,25,1,,,0,0,0,1,0,0,0,0,0,0,0,1
72,7,11,0,26,26,2,0,2.88,0.28,0.44,0,1.04,1.04,0.08,0,1,25,,,,,0,0,0,0,1,0,0,0,0,0,0,1
25,2,9,0,4,10,0,0,8.33333333333333,0.666666666666667,3,0,1.33333333333333,3.33333333333333,0,0,1,3,,,,,0,0,0,0,0,0,0,0,0,0,0,0
7,3,2,0,1,1,0,0,1,0.428571428571429,0.285714285714286,0,0.142857142857143,0.142857142857143,0,0,0,7,,1,,,0,0,0,1,0,0,0,0,0,0,0,1
91,12,15,1,13,48,2,15,4.78947368421053,0.631578947368421,0.789473684210526,0.0526315789473684,0.68421052631579,2.52631578947368,0.105263157894737,0.789473684210526,1,19,,,,10,0,1,1,1,1,0,0,1,1,0,0,6
43,2,13,3,1,19,5,1,2.86666666666667,0.133333333333333,0.866666666666667,0.2,0.0666666666666666,1.26666666666667,0.333333333333333,0.0666666666666666,0,15,,1,,7,0,0,0,1,0,0,0,0,0,0,0,1
80,6,11,0,43,19,1,0,2.96296296296296,0.222222222222222,0.407407407407407,0,1.59259259259259,0.703703703703704,0.037037037037037,0,0,27,,,,,0,0,1,0,0,1,0,0,0,0,0,2
98,7,43,1,15,27,5,0,4.45454545454545,0.318181818181818,1.95454545454545,0.0454545454545454,0.681818181818182,1.22727272727273,0.227272727272727,0,0,22,,,,,0,0,0,1,1,0,0,1,1,0,0,4
461,33,144,7,61,190,26,6,4.34905660377359,0.311320754716981,1.35849056603774,0.0660377358490566,0.575471698113208,1.79245283018868,0.245283018867924,0.0566037735849056,0,106,,,2,1,0,1,0,1,1,0,1,1,1,0,0,6
